Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 He, cm-3 
6 Ar, cm-3
7 H, cm-3
8 N, cm-3

      1          2          3          4          5          6          7          8
    0.0  0.000E+00  2.105E+19  5.646E+18  1.412E+14  2.518E+17  0.000E+00  0.000E+00
    1.0  0.000E+00  1.877E+19  5.036E+18  1.260E+14  2.245E+17  0.000E+00  0.000E+00
    2.0  0.000E+00  1.684E+19  4.519E+18  1.130E+14  2.015E+17  0.000E+00  0.000E+00
    3.0  0.000E+00  1.516E+19  4.066E+18  1.017E+14  1.813E+17  0.000E+00  0.000E+00
    4.0  0.000E+00  1.363E+19  3.658E+18  9.150E+13  1.631E+17  0.000E+00  0.000E+00
    5.0  0.000E+00  1.224E+19  3.282E+18  8.211E+13  1.464E+17  0.000E+00  0.000E+00
    6.0  0.000E+00  1.093E+19  2.932E+18  7.335E+13  1.307E+17  0.000E+00  0.000E+00
    7.0  0.000E+00  9.704E+18  2.603E+18  6.512E+13  1.161E+17  0.000E+00  0.000E+00
    8.0  0.000E+00  8.553E+18  2.295E+18  5.740E+13  1.023E+17  0.000E+00  0.000E+00
    9.0  0.000E+00  7.479E+18  2.006E+18  5.019E+13  8.946E+16  0.000E+00  0.000E+00
   10.0  0.000E+00  6.484E+18  1.739E+18  4.351E+13  7.755E+16  0.000E+00  0.000E+00
   11.0  0.000E+00  5.575E+18  1.496E+18  3.741E+13  6.669E+16  0.000E+00  0.000E+00
   12.0  0.000E+00  4.766E+18  1.279E+18  3.199E+13  5.701E+16  0.000E+00  0.000E+00
   13.0  0.000E+00  4.062E+18  1.090E+18  2.726E+13  4.859E+16  0.000E+00  0.000E+00
   14.0  0.000E+00  3.460E+18  9.281E+17  2.322E+13  4.138E+16  0.000E+00  0.000E+00
   15.0  0.000E+00  2.950E+18  7.913E+17  1.979E+13  3.528E+16  0.000E+00  0.000E+00
   16.0  0.000E+00  2.521E+18  6.762E+17  1.692E+13  3.015E+16  0.000E+00  0.000E+00
   17.0  0.000E+00  2.157E+18  5.787E+17  1.448E+13  2.580E+16  0.000E+00  0.000E+00
   18.0  0.000E+00  1.846E+18  4.952E+17  1.239E+13  2.208E+16  0.000E+00  0.000E+00
   19.0  0.000E+00  1.578E+18  4.234E+17  1.059E+13  1.888E+16  0.000E+00  0.000E+00
   20.0  0.000E+00  1.346E+18  3.612E+17  9.036E+12  1.611E+16  0.000E+00  0.000E+00
   21.0  0.000E+00  1.146E+18  3.074E+17  7.690E+12  1.371E+16  0.000E+00  0.000E+00
   22.0  0.000E+00  9.731E+17  2.610E+17  6.530E+12  1.164E+16  0.000E+00  0.000E+00
   23.0  0.000E+00  8.247E+17  2.212E+17  5.534E+12  9.865E+15  0.000E+00  0.000E+00
   24.0  0.000E+00  6.979E+17  1.872E+17  4.684E+12  8.348E+15  0.000E+00  0.000E+00
   25.0  0.000E+00  5.900E+17  1.583E+17  3.959E+12  7.057E+15  0.000E+00  0.000E+00
   26.0  0.000E+00  4.983E+17  1.337E+17  3.344E+12  5.960E+15  0.000E+00  0.000E+00
   27.0  0.000E+00  4.206E+17  1.128E+17  2.823E+12  5.032E+15  0.000E+00  0.000E+00
